Zone_number,distance,fixed weight,varial weight,sum weight
100527,3,18,4.593055,25.593055
,,,,
100530,4,17,0.650447,21.650447
,,,,
100511,5,12,38.237049,55.237049
,,,,
100530,4,17,0.650447,21.650447
,,,,
100525,5,12,7.204732,24.204732
,,,,
100531,5,11,9.572596,25.572596
,,,,
100528,4,14,21.991106,39.991106
,,,,
100525,5,12,7.204732,24.204732
,,,,
100523,6,13,1.025347,20.025347
,,,,
100523,6,13,1.025347,20.025347
,,,,
100551,7,8,0.104332,15.104332
,,,,
100553,6,5,0.231833,11.231833
,,,,
100553,6,5,0.231833,11.231833
,,,,
100552,4,5,0.081522,9.081522
,,,,
100552,4,5,0.081522,9.081522
,,,,
100548,5,19,0.06413,24.06413
,,,,
100546,3,14,0,17
,,,,
100551,7,8,0.093555,15.093555
,,,,
100550,6,5,0.051734,11.051734
,,,,
100550,6,5,0.051734,11.051734
,,,,
100549,4,13,2.058181,19.058181
,,,,
100546,3,14,1.800593,18.800593
,,,,
100545,2,20,14.156423,36.156423
,,,,
100537,3,10,0.126378,13.126378
,,,,
100537,3,10,0.126378,13.126378
,,,,
100541,2,14,1.295538,17.295538
,,,,
100541,2,14,1.295538,17.295538
,,,,
100544,0,21,3.668246,24.668246
100520,4,15,6.442518,25.442518
,,,,
100521,3,14,4.733117,21.733117
,,,,
100538,1,20,2.086468,23.086468
,,,,
100439,1,18,0.920184,19.920184
,,,,
100527,3,18,4.593055,25.593055
,,,,
100530,4,17,0.650447,21.650447
,,,,
100511,5,12,38.237049,55.237049
,,,,
100530,4,17,0.650447,21.650447
,,,,
100525,5,12,7.204732,24.204732
,,,,
100531,5,11,9.572596,25.572596
,,,,
100528,4,14,21.991106,39.991106
,,,,
100525,5,12,7.204732,24.204732
,,,,
100523,6,13,1.025347,20.025347
,,,,
100523,6,13,1.025347,20.025347
,,,,
100551,7,8,0.104332,15.104332
,,,,
100553,6,5,0.231833,11.231833
,,,,
100553,6,5,0.231833,11.231833
,,,,
100552,4,5,0.081522,9.081522
,,,,
100552,4,5,0.081522,9.081522
,,,,
100548,5,19,0.06413,24.06413
,,,,
100546,3,14,0,17
,,,,
100551,7,8,0.093555,15.093555
,,,,
100550,6,5,0.051734,11.051734
,,,,
100550,6,5,0.051734,11.051734
,,,,
100549,4,13,2.058181,19.058181
,,,,
100546,3,14,1.800593,18.800593
,,,,
100545,2,20,14.156423,36.156423
,,,,
100537,3,10,0.126378,13.126378
,,,,
100537,3,10,0.126378,13.126378
,,,,
100541,2,14,1.295538,17.295538
,,,,
100541,2,14,1.295538,17.295538
,,,,
100544,0,21,3.668246,24.668246
,,,,
100545,2,20,14.156423,36.156423
,,,,
100531,5,11,7.717607,23.717607
,,,,
100547,2,20,1.225712,23.225712
,,,,
100544,0,21,4.301015,25.301015
,,,,
