ID,Zone_Code,Zone_NameEN,Age_Weight,Worker_Weight,Density_Weight,Landuse_Weight,TripIn_Weight,TripOut_Weight,Sum_Weight
1,100513,Shuafat - Anatot,2,1,3,3,1,2,12
2,100512,South of Beit Hanina,3,3,3,3,1,2,15
3,100511,West Shuafat,2,2,2,3,1,2,12
4,100510,East Shuafat,2,2,3,3,1,2,13
5,100506,Kfar Akev,1,5,4,3,1,2,16
6,100505,Atarot Industrial Zone,1,1,1,3,3,3,12
7,100509,Eastern Wolf Peak,4,5,3,3,2,5,22
8,100508,Neve Yaakov,1,4,4,3,1,3,16
9,100507,Nehemiah Fortress,1,1,1,0,1,1,5
10,100520,"Sheikh Jarrah, Wadi Jouz",1,3,3,4,2,2,15
11,100524,Level 4,1,3,3,3,1,2,13
12,100523,Levels B,1,2,3,3,2,2,13
13,100522,Mount of Olives,1,4,3,3,2,4,17
14,100521,Bab A. Zahara,1,2,3,4,3,1,14
15,100517,Anatot- Anata,1,5,4,3,1,4,18
16,100516,Issawiya,1,3,3,3,2,3,15
17,100515,Beit Hanina - Bisan,3,2,2,3,2,3,15
18,100514,North of Beit Hanina,3,4,3,3,2,4,19
19,100519,The Hebrew University - Mount Scopus,4,1,1,3,3,1,13
20,100518,Old Town Quarters,2,5,5,3,4,5,24
21,100531,"Ramat Shlomo, Har Hotzvim, Kiryat Industries rich in science",1,1,1,3,3,2,11
22,100530,Ramat Shlomo,4,3,3,3,1,3,17
23,100535,Evening A. Swahara and Umm Liton,1,5,2,3,2,4,17
24,100534,Ras al Amud,1,4,4,3,1,3,16
25,100533,Silwan - The Shiloah Village,1,4,4,3,1,2,15
26,100532,Abu Tor,2,3,3,3,1,3,15
27,100528,Ramat Eshkol,1,3,3,3,2,2,14
28,100527,The top of the capital,4,3,3,3,2,3,18
29,100526,Poland levels,1,4,4,3,2,2,16
30,100525,Ramot Alon and Nevo,1,2,3,3,1,2,12
31,100529,Degrees of laurel,1,3,4,3,2,2,15
32,100542,Israel Museum Cross Valley,5,1,2,2,1,1,12
33,100541,Kiryat HaLeum,1,1,1,4,5,2,14
34,100540,Rehavia and Kiryat Wolfson,4,3,3,4,2,2,18
35,100546,Romema Illit and Kiryat Matersdorf,1,2,4,4,2,1,14
36,100545,Exalted,1,3,4,4,4,4,20
37,100544,Nachlaot,4,3,4,4,4,2,21
38,100543,The Hebrew University - Givat Ram,4,1,1,3,2,1,12
39,100539,The Bukharan neighborhood,1,5,5,4,3,2,20
40,100538,Musrara and Nahalat HaShiva,4,2,3,4,5,2,20
41,100537,Jerusalem: Central Station,1,1,1,5,1,1,10
42,100536,Sur Baher and Umm Tuba,1,3,2,3,2,4,15
43,100793,The German Colony - Miriam the Hasmonean,5,1,2,3,1,1,13
44,100799,Salt,4,2,2,3,2,3,16
45,100553,Nahal Sorek / Timna Park,1,1,1,0,1,1,5
46,100552,Jerusalem: Lifta,1,1,1,0,1,1,5
47,100551,Yaar Ramot,1,1,1,3,1,1,8
48,100550,Mount of Beatitudes,1,1,1,0,1,1,5
49,100557,Beit Hakerem and beautiful views,5,5,3,3,1,3,20
50,100556,Mount Herzl,1,1,1,0,1,1,5
51,100555,Bayit veGan,3,5,4,4,3,2,21
52,100554,Beit Zayit,1,2,1,3,1,2,10
53,100549,Givat Shaul II,1,1,1,3,5,2,13
54,100548,Givat Shaul A.,1,4,4,3,4,3,19
55,100547,Kiryat Belaz and Ezrat Torah,3,4,4,4,3,2,20
56,100564,Jerusalem: Airplane Hill,1,1,1,3,1,1,8
57,100563,Homat Shmuel Har Homa,2,5,2,3,2,5,19
58,100562,Hadassah Ein Kerem,1,1,1,4,2,1,10
59,100561,Mount Herut National Park,3,1,1,3,1,1,10
60,100566,West discovered,1,3,2,3,1,3,13
61,100565,East Gila,1,5,2,3,3,5,19
62,100560,Even Sapir,1,1,1,3,1,1,8
63,100559,Amidanav and Ora,1,2,1,3,3,3,13
64,100558,Kfar Shaul and Har Nof,3,4,3,3,1,3,17
65,100575,Garden City and Beacon Hill,1,5,2,2,2,4,16
66,100574,Ein Karem,1,4,2,3,3,4,17
67,100573,Kiryat Hayovel,1,3,4,3,2,3,16
68,100572,Holyland and Ramat Sharet,2,2,3,3,1,1,12
69,100579,Ramat Rachel,4,1,1,3,1,1,11
70,100578,Property tax and talpiot,5,4,3,3,1,3,19
71,100577,YMCA compound,4,1,2,4,2,1,14
72,100576,Yemin Moshe (Mamilla Mall),5,1,2,4,1,1,14
73,100571,Teddy Stadium,1,1,1,1,1,1,6
74,100570,Deer Valley,1,1,1,3,1,1,8
75,100569,Givat Mordechai,4,2,4,3,1,1,15
76,100586,Gonen T. and H.,1,2,3,3,1,2,12
77,100585,Jerusalem,1,1,1,3,1,1,8
78,100584,Emek Refaim,5,4,3,3,4,3,22
79,100583,Tsameret Alenbey,5,1,1,3,1,1,12
80,100587,Talpiot - Industry and commerce,4,2,2,3,5,2,18
81,100582,Old Katamon,5,3,4,3,2,2,19
82,100581,Katamonim,1,5,4,3,2,4,19
83,100580,Talpiot East,2,4,3,3,2,4,18
84,100598,Pisgat Zeev Center,1,5,3,3,2,4,18
85,101258,Kiryat Shmuel,5,2,2,3,2,2,16
86,101260,Bayit vegan,1,2,2,3,3,4,15
87,100667,Beit Safafa,3,2,2,3,1,3,14
88,100669,Sharafat,3,2,2,3,1,2,13
89,100668,A. Savna,1,2,2,3,1,2,11
90,100439,Mea Shearim,1,4,5,3,3,2,18
