,ToZone,Trips,Hour
0,100439,262.911328,h0
1,100505,187.388828,h0
2,100506,143.427079,h0
3,100507,24.030233,h0
4,100508,270.388088,h0
5,100509,557.096877,h0
6,100510,180.894769,h0
7,100511,165.646948,h0
8,100512,198.168817,h0
9,100513,95.559872,h0
10,100514,366.401147,h0
11,100515,198.991525,h0
12,100516,223.435225,h0
13,100517,362.420859,h0
14,100518,570.36885,h0
15,100519,81.260589,h0
16,100520,165.580486,h0
17,100521,156.423961,h0
18,100522,470.691894,h0
19,100523,170.727144,h0
20,100524,124.364072,h0
21,100525,176.413965,h0
22,100526,287.393856,h0
23,100527,285.223715,h0
24,100528,241.525411,h0
25,100529,143.534771,h0
26,100530,248.288589,h0
27,100531,132.230775,h0
28,100532,159.3435,h0
29,100533,205.099699,h0
30,100534,280.802658,h0
31,100535,453.710792,h0
32,100536,271.061314,h0
33,100537,25.518474,h0
34,100538,273.506633,h0
35,100539,295.313297,h0
36,100540,113.323432,h0
37,100541,173.929974,h0
38,100542,28.70877,h0
39,100543,59.832509,h0
40,100544,280.451374,h0
41,100545,416.689336,h0
42,100546,107.720561,h0
43,100547,310.76002,h0
44,100548,352.287068,h0
45,100549,106.371335,h0
46,100550,49.265581,h0
47,100551,9.348764,h0
48,100552,12.801084,h0
49,100553,16.8155,h0
50,100554,127.643003,h0
51,100555,191.827847,h0
52,100556,10.61068,h0
53,100557,242.307652,h0
54,100558,281.436748,h0
55,100559,161.437921,h0
56,100560,16.78852,h0
57,100561,23.768478,h0
58,100562,37.734609,h0
59,100563,406.764102,h0
60,100564,2.023453,h0
61,100565,456.471997,h0
62,100566,205.747223,h0
63,100569,71.760708,h0
64,100570,51.474642,h0
65,100571,7.75555,h0
66,100572,83.255217,h0
67,100573,198.846256,h0
68,100574,253.707014,h0
69,100575,321.526921,h0
70,100576,32.656319,h0
71,100577,41.842851,h0
72,100578,255.852986,h0
73,100579,55.810791,h0
74,100580,311.902351,h0
75,100581,420.355177,h0
76,100582,154.525523,h0
77,100583,29.162585,h0
78,100584,204.194629,h0
79,100585,7.063297,h0
80,100586,146.799227,h0
81,100587,165.8178,h0
82,100598,420.214129,h0
83,100667,180.749709,h0
84,100668,65.602032,h0
85,100669,101.70942,h0
86,100793,37.90658,h0
87,100799,194.789153,h0
88,101258,107.014672,h0
89,101260,275.882904,h0
90,100439,121.831513,h1
91,100505,93.534436,h1
92,100506,75.18462,h1
93,100507,11.28629,h1
94,100508,114.274343,h1
95,100509,285.329335,h1
96,100510,81.522588,h1
97,100511,86.114692,h1
98,100512,81.597805,h1
99,100513,38.957074,h1
100,100514,184.598676,h1
101,100515,93.628517,h1
102,100516,103.813656,h1
103,100517,164.075107,h1
104,100518,262.553007,h1
105,100519,44.868675,h1
106,100520,78.006194,h1
107,100521,78.636266,h1
108,100522,230.477368,h1
109,100523,79.567617,h1
110,100524,60.251332,h1
111,100525,93.755198,h1
112,100526,195.80091,h1
113,100527,137.392442,h1
114,100528,111.034429,h1
115,100529,65.953014,h1
116,100530,116.280094,h1
117,100531,66.772947,h1
118,100532,80.767146,h1
119,100533,81.308561,h1
120,100534,131.477494,h1
121,100535,213.105084,h1
122,100536,160.864682,h1
123,100537,12.013143,h1
124,100538,132.970169,h1
125,100539,136.988562,h1
126,100540,41.833352,h1
127,100541,78.215006,h1
128,100542,13.423238,h1
129,100543,26.828972,h1
130,100544,130.912144,h1
131,100545,196.890479,h1
132,100546,52.132148,h1
133,100547,155.360617,h1
134,100548,188.802892,h1
135,100549,72.545363,h1
136,100550,26.42743,h1
137,100551,6.860548,h1
138,100552,6.463674,h1
139,100553,11.420396,h1
140,100554,57.401056,h1
141,100555,98.817514,h1
142,100556,5.989563,h1
143,100557,107.517471,h1
144,100558,127.299354,h1
145,100559,104.431257,h1
146,100560,5.963363,h1
147,100561,17.372855,h1
148,100562,24.404585,h1
149,100563,195.851768,h1
150,100564,0.702476,h1
151,100565,216.11479,h1
152,100566,103.71184,h1
153,100569,32.874372,h1
154,100570,27.1238,h1
155,100571,3.767903,h1
156,100572,41.069457,h1
157,100573,90.938537,h1
158,100574,116.335681,h1
159,100575,159.249276,h1
160,100576,16.051444,h1
161,100577,23.744299,h1
162,100578,119.676215,h1
163,100579,26.066636,h1
164,100580,146.739168,h1
165,100581,181.989363,h1
166,100582,68.262429,h1
167,100583,17.426602,h1
168,100584,94.145518,h1
169,100585,5.206675,h1
170,100586,66.986424,h1
171,100587,82.304491,h1
172,100598,178.906949,h1
173,100667,93.019278,h1
174,100668,32.274108,h1
175,100669,56.237266,h1
176,100793,18.987945,h1
177,100799,95.853514,h1
178,101258,39.516624,h1
179,101260,142.043898,h1
180,100439,184.818046,h2
181,100505,76.514376,h2
182,100506,50.709738,h2
183,100507,7.626386,h2
184,100508,65.074229,h2
185,100509,190.090091,h2
186,100510,45.445786,h2
187,100511,42.413964,h2
188,100512,49.188392,h2
189,100513,23.64992,h2
190,100514,102.428462,h2
191,100515,55.647696,h2
192,100516,59.614281,h2
193,100517,98.362967,h2
194,100518,174.312034,h2
195,100519,27.127609,h2
196,100520,44.656351,h2
197,100521,46.988452,h2
198,100522,145.10378,h2
199,100523,47.884963,h2
200,100524,32.049325,h2
201,100525,57.931811,h2
202,100526,78.215894,h2
203,100527,81.360482,h2
204,100528,59.88554,h2
205,100529,35.867566,h2
206,100530,65.018829,h2
207,100531,42.825461,h2
208,100532,47.009464,h2
209,100533,52.513421,h2
210,100534,76.879372,h2
211,100535,134.120478,h2
212,100536,109.434428,h2
213,100537,7.359185,h2
214,100538,97.427249,h2
215,100539,122.316918,h2
216,100540,26.765501,h2
217,100541,47.169047,h2
218,100542,11.537244,h2
219,100543,19.450087,h2
220,100544,77.871998,h2
221,100545,117.324387,h2
222,100546,30.813244,h2
223,100547,89.659698,h2
224,100548,154.966273,h2
225,100549,56.270933,h2
226,100550,18.051297,h2
227,100551,4.626234,h2
228,100552,4.585076,h2
229,100553,7.977666,h2
230,100554,39.602628,h2
231,100555,54.65274,h2
232,100556,2.968073,h2
233,100557,65.54596,h2
234,100558,71.963338,h2
235,100559,77.113881,h2
236,100560,3.940703,h2
237,100561,11.543961,h2
238,100562,18.891183,h2
239,100563,116.010236,h2
240,100564,0.815872,h2
241,100565,143.345331,h2
